DFG TRAFFIC SIGN DATASET — MAPIRANJE YOLO KLASA

Format:
YOLO_ID | DFG_ŠIFRA | ZNAČENJE NA SRPSKOM | IZVORNI ENGLESKI OPIS
051 | II-30-10     | Ograničenje brzine na 10 km/h | Maximum speed limit 10.
052 | II-30-30     | Ograničenje brzine na 30 km/h | Maximum speed limit 30.
053 | II-30-40     | Ograničenje brzine na 40 km/h | Maximum speed limit 40.
054 | II-30-50     | Ograničenje brzine na 50 km/h | Maximum speed limit 50.
055 | II-30-60     | Ograničenje brzine na 60 km/h | Maximum speed limit 60.
056 | II-30-70     | Ograničenje brzine na 70 km/h | Maximum speed limit 70.
057 | II-32        | Carina — obavezno zaustavljanje | Customs (passing without stopping first prohibited).
058 | II-33        | Prvenstvo prolaza vozila iz suprotnog smera | Give way to oncomming traffic.
059 | II-34        | Zabranjeno zaustavljanje i parkiranje | No stopping or parking.
060 | II-35        | Zabranjeno parkiranje | No parking.
061 | II-39        | Obavezni lanci za sneg | Snow chains mandatory.
062 | II-4         | Zabrana saobraćaja u označenom smeru | Road closed in this direction.
063 | II-40        | Biciklistička staza | Bike path.
064 | II-41        | Pešačka staza | Pedestrian path.
065 | II-42        | Razdvojena pešačka i biciklistička staza | Segregated path for pedestrians and bicycles.
066 | II-42.1      | Razdvojena pešačka i biciklistička staza | Segregated path for pedestrians and bicycles.
067 | II-43        | Zajednička pešačka i biciklistička staza | Shared path for pedestrians and bicycles.
068 | II-45        | Obavezno pravo | Proceed straight.
069 | II-45.1      | Obavezno skretanje ulevo | Turn left.
070 | II-45.2      | Obavezno skretanje udesno | Turn right.
071 | II-46        | Obavezno pravo ili ulevo | Proceed straight or turn left.
072 | II-46.1      | Obavezno pravo ili ulevo | Proceed straight or turn left.
073 | II-46.2      | Obavezno pravo ili ulevo | Proceed straight or turn left.
074 | II-47        | Obavezno obilaženje sa desne strane | Keep right.
075 | II-47.1      | Obavezno obilaženje sa leve strane | Keep left.
076 | II-48        | Obavezan smer kretanja u kružnom toku | Roundabout mandatory.
077 | II-6         | Zabrana saobraćaja za autobuse | Road closed to buses.
078 | II-7         | Zabrana saobraćaja za teretna vozila | Road closed to trucks.
079 | II-7.1       | Zabrana saobraćaja za teretna vozila čija masa prelazi označenu vrednost | Road closed to trucks over the shown maximum permissible weight in metric tonnes.
080 | II-8         | Zabrana saobraćaja za cisterne koje prevoze materije opasne po vodu | Road closed to tanker trucks carrying dangerous water pollutants.
081 | III-1        | Prvenstvo prolaza u odnosu na vozila iz suprotnog smera | Priority over oncoming traffic.
082 | III-10       | Autoput | Motorway.
083 | III-105      | Oznaka udaljenosti na putu | Road distance marker.
084 | III-105.1    | Oznaka udaljenosti na putu | Road distance marker.
085 | III-105.3    | Oznaka udaljenosti na putu | Road distance marker.
086 | III-107-1    | Tabla za označavanje krivine | Curve marker.
087 | III-107-2    | Tabla za označavanje krivine | Curve marker.
088 | III-107.1-1  | Tabla za označavanje krivine | Curve marker.
089 | III-107.1-2  | Tabla za označavanje krivine | Curve marker.
090 | III-107.2-1  | Tabla za označavanje krivine | Curve marker.
091 | III-107.2-2  | Tabla za označavanje krivine | Curve marker.
092 | III-112      | Usmeravanje saobraćaja po trakama | Traffic lane management.
093 | III-113      | Usmeravanje saobraćaja po trakama | Traffic lane management.
094 | III-12       | Put rezervisan za saobraćaj motornih vozila | Limited access road.
095 | III-120      | Zona škole | School zone.
096 | III-120-1    | Zona škole | School zone.
097 | III-120.1    | Zona škole | School zone.
098 | III-123      | Kontrola brzine / radar | Speed radar.
099 | III-124      | Stanica za hitne slučajeve | Emergency station.
100 | III-14       | Naselje | Village.
101 | III-14.1     | Naselje | Village.
102 | III-15       | Prestanak naselja | End of village.
103 | III-16       | Prestanak zabrane preticanja | End overtaking restriction.
104 | III-18-40    | Prestanak ograničenja brzine od 40 km/h | End maximum speed limit 40.
105 | III-18-50    | Prestanak ograničenja brzine od 50 km/h | End maximum speed limit 50.
106 | III-18-60    | Prestanak ograničenja brzine od 60 km/h | End maximum speed limit 60.
107 | III-18-70    | Prestanak ograničenja brzine od 70 km/h | End maximum speed limit 70.
108 | III-2        | Jednosmerna ulica | One-way street.
109 | III-202-5    | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
110 | III-203-2    | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
111 | III-206-1    | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
112 | III-21       | Prestanak svih zabrana | End all restrictions.
113 | III-23       | Prestanak biciklističke staze | End bike path.
114 | III-25       | Prestanak razdvojene pešačke i biciklističke staze | End segregated path for pedestrians and bicycles.
115 | III-25.1     | Prestanak razdvojene pešačke i biciklističke staze | End segregated path for pedestrians and bicycles.
116 | III-27       | Zona zabrane parkiranja | No parking zone.
117 | III-29-30    | Zona ograničenja brzine na 30 km/h | Speed limit zone 30.
118 | III-29-40    | Zona ograničenja brzine na 40 km/h | Speed limit zone 40.
119 | III-3        | Put sa prvenstvom prolaza | Priority road.
120 | III-30-30    | Prestanak zone ograničenja brzine od 30 km/h | End speed limit zone 30.
121 | III-33       | Zona usporenog saobraćaja | Traffic calmed area.
122 | III-34       | Zona usporenog saobraćaja | Traffic calmed area.
123 | III-35       | Parking | Parking.
124 | III-37       | Parking sa naplatom | Metered parking.
125 | III-39       | Prva pomoć | First aid post.
126 | III-40       | Auto-servis | Mechanic.
127 | III-42       | Mesto za pražnjenje otpadnih voda iz kamp-prikolica | Caravan waste station.
128 | III-43       | Benzinska stanica | Petrol station.
129 | III-45       | Restoran | Restaurant.
130 | III-46       | Ugostiteljski objekat / osveženje | Refreshment bar.
131 | III-47       | Izletište | Picnic area.
132 | III-5        | Prelaz biciklističke staze preko kolovoza | Cyclist crossing.
133 | III-50       | Kamp za šatore i kamp-prikolice | Camping and caravan grounds.
134 | III-54       | Autobusko stajalište | Bus stop.
135 | III-59       | Informacije | Information.
136 | III-6        | Pešački prelaz | Pedestrian crossing.
137 | III-64       | Broj serpentine | Številka serpentine.
138 | III-68       | Oznaka reke | River sign.
139 | III-74       | Radio-informacije | Radio information.
140 | III-77       | Zona zaštite voda | Water protection zone.
141 | III-78       | Biciklistička ruta | Bike route.
142 | III-8-1      | Slepi put | Dead end road.
143 | III-84       | Putokazna tabla | Direction table.
144 | III-84-1     | Putokazna tabla | Direction table.
145 | III-85-2     | Putokazna tabla | Direction table.
146 | III-85-3     | Putokazna tabla | Direction table.
147 | III-85.1     | Putokazna tabla | Direction table.
148 | III-86-1     | Putokaz | Direction signpost.
149 | III-86-2     | Putokaz | Direction signpost.
150 | III-87       | Putokazna tabla | Direction table.
151 | III-90       | Putokazna tabla | Direction table.
152 | III-90.1     | Putokazna tabla | Direction table.
153 | III-90.2     | Putokazna tabla | Direction table.
154 | III-91       | Putokazna tabla | Direction table.
155 | IV-1         | Dopunska tabla — znak važi nakon označene udaljenosti | Above sign effective after the distance shown.
156 | IV-1.1       | Dopunska tabla — STOP nakon označene udaljenosti | Stop sign ahead after the distance shown.
157 | IV-10        | Parking za osobe sa invaliditetom | Disabled parking.
158 | IV-11        | Zona odnošenja vozila | Tow-away zone.
159 | IV-12        | Dopunska tabla — znak važi za vreme kiše | Above sign valid during rainy weather.
160 | IV-12.1      | Dopunska tabla — znak važi u zimskim uslovima | Above sign valid during winter weather.
161 | IV-13-1      | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
162 | IV-13-2      | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
163 | IV-13-3      | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
164 | IV-13-4      | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
165 | IV-13-5      | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
166 | IV-13-6      | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
167 | IV-13.1-2    | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
168 | IV-13.1-3    | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
169 | IV-13.1-4    | Dopunska tabla — pružanje puta sa prvenstvom prolaza | Priority route diagram.
170 | IV-16        | Kolotrazi na kolovozu | Rutted road.
171 | IV-17        | Dvosmerna biciklistička staza | Two-way bike path.
172 | IV-18        | Deca na putu | Children in the road.
173 | IV-2         | Dopunska tabla — znak važi u dužini označene deonice | Above sign effective for the duration of the distance shown.
174 | IV-20-1      | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
175 | IV-3-1       | Dopunska tabla — znak važi u prikazanom smeru i na označenoj udaljenosti | Above sign effective ahead in the direction and distance shown.
176 | IV-3-2       | Dopunska tabla — znak važi u prikazanom smeru i na označenoj udaljenosti | Above sign effective ahead in the direction and distance shown.
177 | IV-3-4       | Dopunska tabla — znak važi u prikazanom smeru i na označenoj udaljenosti | Above sign effective ahead in the direction and distance shown.
178 | IV-3-5       | Dopunska tabla — znak važi u prikazanom smeru i na označenoj udaljenosti | Above sign effective ahead in the direction and distance shown.
179 | IV-5         | Dopunska tabla sa dodatnim objašnjenjem | Additional explanation plate.
180 | IV-6         | Dopunska tabla sa dodatnim objašnjenjem | Additional explanation plate.
181 | VI-2.1       | Tabla za označavanje prepreke | Hazard marker.
182 | VI-3-1       | Tabla za označavanje prepreke | Hazard marker.
183 | VI-3-2       | Tabla za označavanje prepreke | Hazard marker.
184 | VI-3.1-1     | Tabla za označavanje prepreke | Hazard marker.
185 | VI-3.1-2     | Tabla za označavanje prepreke | Hazard marker.
186 | VI-8         | Tabla za označavanje saobraćajnog ostrva | Traffic island marker.
187 | VII-4        | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
188 | VII-4-1      | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
189 | VII-4-2      | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
190 | VII-4.1-1    | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
191 | VII-4.3      | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
192 | VII-4.3-1    | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
193 | VII-4.3-2    | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
194 | VII-4.4-1    | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
195 | VII-4.4-2    | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
196 | X-1.1        | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
197 | X-1.2        | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
198 | X-4          | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
199 | X-6-3        | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
